Nummero Accident;Categorie de route;Nom de la route
202200032221; Route Départementale;168
202200032222; Route Départementale;BD LA MERIDIENNE
202200032223;Voie Communales;AV ROBERT SCHUMAN
202200032224;Autoroute;A51-Sens Marseille vers Aix en Provence
202200032225; Route Départementale;RD606. de la rochette à l'obélisque
202200032226;Autoroute;A51-Sens Marseille vers Aix en Provence
202200032227; Route Départementale;D485
202200032228;Autoroute;A51-Sens Aix en Provence vers Marseille
202200032229;Autoroute;A50
202200032230;Voie Communales;EUROPE (DE L')                      (PL)
202200032231;Route nationale;RN346   29.300 A 34.350
202200032232; Route Départementale;AVE MARIA(rond point)
202200032233; Route Départementale;LIBERATION  AV DE LA
202200032234;Routes de métropole urbaine;35
202200032235;Autoroute;AUTOROUTE A 62
202200032236;Voie Communales;COMMANDANT RENE MOUCHOTTE DU
202200032237;Voie Communales;MARCEL DASSAULT (AVENUE)
202200032238;Autoroute;AUTOROUTE A86
202200032239;Voie Communales;BOIS BELIN (RUE DU)
202200032240;Autoroute;AUTOROUTE A6B
202200032241;Routes de métropole urbaine;NATIONALE RUE
202200032242;Autoroute;15
202200032243;Voie Communales;TALMA RUE
202200032244;Autoroute;AUTOROUTE A86
202200032245;Voie Communales;BLAVIER (RUE)
202200032246;Autoroute;AUTOROUTE A115
202200032247;Autoroute;A4
202200032248;Voie Communales;DESSAUX (RUE ANDRE DESSAUX)
202200032249;Autoroute;A86 EXT
202200032250; Route Départementale;THIERS (RUE)
202200032251;Voie Communales;LÉGION D'HONNEUR (BOULEVARD DE LA)
202200032252;Voie Communales;POITOU (BOULEVARD DU)
202200032253; Route Départementale;CHAMBORD (ROUTE DE)
202200032254;Voie Communales;
202200032255;Voie Communales;COMBOIRE (RUE DE)
202200032256;Voie Communales;CARNOT ( RUE )
202200032257;Voie Communales;CACHIN (RUE MARCEL)
202200032258;Autoroute;AUTOROUTE A3
202200032259;Voie Communales;
202200032260;Route nationale;RN88
202200032261;Voie Communales;
202200032262;Routes de métropole urbaine;REYNIER (RUE ALB.)
202200032263;Voie Communales;BEAULIEU (PORTE DE)
202200032264;Voie Communales;STALINGRAD (RUE DE)   (E.ZOLA A ALLIES)
202200032265;Voie Communales;RUE DE L'ARGENTIÈRE
202200032266;Voie Communales;CRS DE L'YSER
202200032267;Autoroute;43
202200032268;Voie Communales;RUE GABRIEL PERI
202200032269; Route Départementale;CD 943
202200032270;Voie Communales;KERNEACH (RUE DE )
202200032271; Route Départementale;d45
202200032272;Voie Communales;BESANCON (DU 72TER A LA FIN)
202200032273;Voie Communales;ENDOUME (RUE D')
202200032274; Route Départementale;D5
202200032275; Route Départementale;FRANÇOIS MIGNET (AVENUE)
202200032276;Voie Communales;CHARLES LIVON (BOULEVARD)
202200032277;Voie Communales;GENERAL DE GAULLE (RUE DU)
202200032278;Voie Communales;VOULDY (CHAUSSEE DU)
202200032279; Route Départementale;1508
202200032280;Voie Communales;
202200032281; Route Départementale;907
202200032282;Voie Communales;NANTES (RUE DE)
202200032283; Route Départementale;1212
202200032284;Voie Communales;ROUTE DE L'ANSE VATA
202200032285;Voie Communales;
202200032286; Route Départementale;SAINT-FRANCOIS (BOULEVARD)
202200032287;Route nationale;JAURES (BOULEVARD JEAN)
202200032288; Route Départementale;ROUTE DEPARTEMENTALE 15
202200032289;Voie Communales;FOLIE (ROUTE DE LA)
202200032290;Routes de métropole urbaine;VALVERT                                 
202200032291;Voie Communales;SIDOINE APPOLINAIRE                 (AV)
202200032292;Voie Communales;SCHOELCHER
202200032293;Route nationale;RN4 - SECTION RIVIERA
202200032294;Voie Communales;AV SAINT JACQUES
202200032295;Voie Communales;RUE LEON MAURICE NORMANN
202200032296;Autoroute;AUTOROUTE A20
202200032297; Route Départementale;NICE (ROUTE DE)
202200032298; Route Départementale;D 906
202200032299;Voie Communales;PAINLEVE. RUE PAUL
202200032300;Voie Communales;SOUTHAMPTON (QUAI DE)
202200032301;Voie Communales;COMMANDANT ABADIE
202200032302;Voie Communales;CHAMBERY (AVENUE DE)
202200032303; Route Départementale;MARLIOZ AVENUE DE
202200032304; Route Départementale;908
202200032305;Routes de métropole urbaine;LAURENT BONNEVAY                    (BD)
202200032306;Voie Communales;MONTESQUIEU (RUE)
202200032307;Voie Communales;TIERGAERTEL (RUE)
202200032308;Voie Communales;GINOUX AVENUE HENRI AUTRES N°
202200032309;Voie Communales;ALFRED NOBEL
202200032310;Voie Communales;RONSARD
202200032311; Route Départementale;BROSSOLETTE AVENUE PIERRE
202200032312;Voie Communales;MAIGNON (ROUTE DE)
202200032313;Voie Communales;
202200032314; Route Départementale;MAURES (RUE DU CHEMIN DE)
202200032315;Voie Communales;GALLIENI (RUE) 142/FIN
202200032316;Voie Communales;DRON (AVENUE GUSTAVE)
202200032317;Routes de métropole urbaine;LILLE RUE DE
202200032318; Route Départementale;67
202200032319;Routes de métropole urbaine;D.952
202200032320; Route Départementale;1084
202200032321; Route Départementale;326
202200032322;Voie Communales;MUN (RUE BERTRAND DE)
202200032323; Route Départementale;979
202200032324;Voie Communales;MONPLAISIR BOULEVARD
202200032325;Autoroute;85
202200032326;Voie Communales;ARAGON AVENUE
202200032327; Route Départementale;35
202200032328;Voie Communales;LETANDUERE
202200032329;Voie Communales;
202200032330;Voie Communales;BOULEVARD MICHELET
202200032331;Voie Communales;ALLENDE (AVENUE SALVADOR)
202200032332; Route Départementale;936
202200032333; Route Départementale;LYON (ROUTE DE)
202200032334; Route Départementale;18
202200032335;Voie Communales;CHATEAUDUN (AVENUE DE)
202200032336; Route Départementale;955
202200032337;Routes de métropole urbaine;RD 37
202200032338;Voie Communales;rue Lagrua
202200032339;Voie Communales;
202200032340; Route Départementale;LIBERATION (AVE)
202200032341;Voie Communales;KEROURIEN (DE 35 A 41 ET 44 A 56)
202200032342; Route Départementale;993
202200032343;Voie Communales;QUEUE D'HAYE (RUE DE LA )
202200032344; Route Départementale;656
202200032345; Route Départementale;DE LATTRE DE TASSIGNY (AVENUE DU MAL)
202200032346; Route Départementale;764
202200032347;Voie Communales;SAINT ANDRE (ROUTE DE)
202200032348; Route Départementale;D 111
202200032349; Route Départementale;D51
202200032350; Route Départementale;936
202200032351;Voie Communales;MARÉCHAL FOCH (AVENUE)
202200032352; Route Départementale;ROCADE NORD - RD 6113
202200032353; Route Départementale;14
202200032354; Route Départementale;9° R.C.P. AVENUE DU
202200032355; Route Départementale;8
202200032356;Voie Communales;LECLERC (BOULEVARD DU MARECHAL)
202200032357; Route Départementale;91
202200032358; Route Départementale;SAINT MATHIEU (ROUTE ET PLACE)
202200032359; Route Départementale;437
202200032360;Voie Communales;ALPES (RUE DES)
202200032361;Voie Communales;
202200032362;Voie Communales;BOULEVARD PERIPHERIQUE INTERIEUR NORD  
202200032363; Route Départementale;97
202200032364;Voie Communales;ROUTE DE LA MUETTE A NEUILLY
202200032365; Route Départementale;15
202200032366;Voie Communales;RUE DES RIGOLES
202200032367;Voie Communales;RUE DE MENILMONTANT
202200032368; Route Départementale;D994
202200032369;Voie Communales;AVENUE DE FLANDRE
202200032370;Voie Communales;RUE DE L OURCQ
202200032371;Voie Communales;BOULEVARD BESSIERES
202200032372;Voie Communales;RUE GALILEE
202200032373;Route nationale;85
202200032374;Voie Communales;ROUTE DES TRIBUNES
202200032375; Route Départementale;42
202200032376;Voie Communales;ALLEE DE LONGCHAMP
202200032377; Route Départementale;953
202200032378;Voie Communales;AVENUE FOCH
202200032379;Voie Communales;RUE LINOIS
202200032380; Route Départementale;739
202200032381;Voie Communales;RUE DE LA CROIX NIVERT
202200032382; Route Départementale;901
202200032383;Voie Communales;BOULEVARD DE GRENELLE
202200032384;Autoroute;29
202200032385;Voie Communales;QUAI D ORSAY
202200032386;Voie Communales;RUE DE PARADIS
202200032387;Route nationale;12
202200032388;Voie Communales;RUE FRANCOIS 1ER
202200032389;Voie Communales;VOIE GEORGES POMPIDOU
202200032390;Autoroute;36
202200032391;Route nationale;PARIS (R DE)
202200032392; Route Départementale;GEORGES GUYNEMER (AV)
202200032393;Autoroute;A36
202200032394;Voie Communales;GABRIEL PERI (RUE)
202200032395;Voie Communales;1860
202200032396; Route Départementale;COURNEUVE (ROUTE)
202200032397; Route Départementale;ROCHET (RUE WALDECK)
202200032398; Route Départementale;68
202200032399; Route Départementale;518
202200032400; Route Départementale;911
202200032401;Route nationale;4
202200032402; Route Départementale;75
202200032403; Route Départementale;14
202200032404; Route Départementale;128
202200032405; Route Départementale;910
202200032406; Route Départementale;6007
202200032407;Route nationale;1
202200032408; Route Départementale;983
202200032409;Route nationale;1
202200032410; Route Départementale;1075
202200032411;Route nationale;24
202200032412; Route Départementale;769
202200032413; Route Départementale;559
202200032414; Route Départementale;953
202200032415; Route Départementale;6009
202200032416;Voie Communales;
202200032417; Route Départementale;999
202200032418; Route Départementale;1075
202200032419;Voie Communales;12
202200032420; Route Départementale;15
202200032421; Route Départementale;
202200032422;Voie Communales;
202200032423; Route Départementale;579
202200032424; Route Départementale;67
202200032425;autre;
202200032426; Route Départementale;633
202200032427; Route Départementale;141
202200032428; Route Départementale;840
202200032429; Route Départementale;8
202200032430; Route Départementale;156
202200032431; Route Départementale;981
202200032432;Route nationale;2
202200032433;Voie Communales;
202200032434; Route Départementale;923
202200032435;Autoroute;A7-Sens Marseille vers Lyon
202200032436; Route Départementale;121
202200032437;Autoroute;AUTOROUTE A6
202200032438; Route Départementale;120
202200032439;Route nationale;145
202200032440;Autoroute;AUTOROUTE A86
202200032441; Route Départementale;486
202200032442;Autoroute;AUTOROUTE A86
202200032443; Route Départementale;D2
202200032444;Voie Communales;
202200032445;Route nationale;10
202200032446;Autoroute;AUTOROUTE A6A
202200032447;Route nationale;1
202200032448;Autoroute;AUTOROUTE A15
202200032449;Route nationale;2
202200032450;Autoroute;A4
202200032451; Route Départementale;951
202200032452; Route Départementale;231
202200032453;Voie Communales;LOTI PIERRE
202200032454; Route Départementale;62
202200032455;Voie Communales;
202200032456;Voie Communales;REMPARTS (RUE)
202200032457; Route Départementale;321
202200032458; Route Départementale;840
202200032459;Autoroute;A55 - Sens Marseille vers Martigues
202200032460;Route nationale;RN346   36.215 A 38.000
202200032461;Voie Communales;BOULARD (RUE BENOITE)
202200032462;Autoroute;A47
202200032463;Voie Communales;DU LYCEE(RUE)
202200032464;Autoroute;A72
202200032465;Autoroute;AUTOROUTE A6
202200032466;Route nationale;AUTOROUTE A1
202200032467;Autoroute;A86 EXT
202200032468;Autoroute;AUTOROUTE A3
202200032469;Autoroute;AUTOROUTE A104
202200032470;Autoroute;AUTOROUTE A86
202200032471;Voie Communales;
202200032472;Autoroute;A104
202200032473;Autoroute;A104
202200032474;Voie Communales;RUE DE BERCHERES
202200032475;Voie Communales;LORION(RUE LUC)
202200032476;Route nationale;RN1 (ROUTE NATIONALE)
202200032477;Voie Communales;LATTRE DE TASSIGNY (AVENUE MARECHAL DE)
202200032478;Voie Communales;AUBER (RUE JULES)
202200032479;Route nationale;LANCASTEL (BOULEVARD)
202200032480; Route Départementale;NEGRES MARONS (RUE DES) CITE BONHOMME
202200032481;Voie Communales;TERRAIN SONIS
202200032482;Voie Communales;MANGO (ROUTE)
202200032483;Voie Communales;VIENNE (DE)                         (RO)
202200032484;Route nationale;CHEMIN DU BAC
202200032485;Voie Communales;SIDOINE APPOLINAIRE                 (AV)
202200032486;Voie Communales;MARECHAL LYAUTEY AVENUE PAIR
202200032487; Route Départementale;GARE (AVENUE DE LA)
202200032488;Route nationale;RN4-ROND POINT SAINT FELIX
202200032489; Route Départementale;RTE DE FONTAINEBLEAU
202200032490;Voie Communales;ANTONY (RUE  ET CHEMIN D')
202200032491;Route nationale;RN 112 (ROCADE SUD)
202200032492;Voie Communales;MARCEAU (RUE)
202200032493;Voie Communales;DEMANGE (RUE PAUL)
202200032494;Voie Communales;GAY-LUSSAC (COURS)
202200032495;Voie Communales;PERRIN (RUE FRANCOIS)
202200032496;Voie Communales;HAUTE-VIENNE (RAMPE)
202200032497;Voie Communales;BONVALLET (RUE)
202200032498;Voie Communales;ARCHE GUEDON (COURS DE L')
202200032499;Voie Communales;ALERY (AVENUE D')
202200032500;Routes de métropole urbaine;LEON BLUM      (Rue)
202200032501;Voie Communales;REMPART-VILLENEUVE
202200032502; Route Départementale;
202200032503; Route Départementale;D289
202200032504;Voie Communales;LOEB (AVENUE DE L'INTERNE JACQUES)
202200032505;Routes de métropole urbaine;MAYER (BD DANIEL)
202200032506;Voie Communales;BLANZAT (RUE DE)
202200032507;Voie Communales;HUIT MAI ( Bld du )
202200032508;Routes de métropole urbaine;COMINES CHEMIN DE
202200032509; Route Départementale;D 152
202200032510;Voie Communales;SEMBAT (RUE MARCEL)
202200032511;Voie Communales;SAINT URBAIN ( RUE )
202200032512;Voie Communales;GREVES (RUE DES)
202200032513;Autoroute;A87N
202200032514; Route Départementale;DOCTEUR SCHWEITZER (RUE DU)
202200032515;Voie Communales;VIGNERON (RUE DU DOCTEUR)
202200032516;Voie Communales;RUE DE PARIS
202200032517;Voie Communales;REPUBLIQUE (AVENUE DE LA)
202200032518;Voie Communales;MONTRESOR (ALLEE DE)
202200032519;Voie Communales;VERN (DE)
202200032520;Parc de stationnement ouvert à la circulation publique;RD 612
202200032521;Voie Communales;LIBERTE (AVENUE DE LA
202200032522;Route nationale;rond point des justes
202200032523;Voie Communales;BOISSIN (PLACE BERTIN)
202200032524; Route Départementale;BENODET ROUTE DE
202200032525;Voie Communales;HUGO VICTOR (DE 1 A 17 ET 2 A 20)
202200032526;Voie Communales;POMPIDOU GEORGES (AVENUE)
202200032527;Route nationale;RN 154
202200032528;Voie Communales;CALVAIRE (RUE DU)
202200032529; Route Départementale;ROSPEZ (ROUTE DE)
202200032530; Route Départementale;R.D 579
202200032531;Routes de métropole urbaine;AVENUE DE LA PATROUILLE DE FRANCE-RN 538
202200032532;Voie Communales;TOULON (AVENUE DE)
202200032533;Voie Communales;LIEUTAUD (COURS)      2 A 52
202200032534;Routes de métropole urbaine;CESAR BOY (AVENUE)
202200032535;Voie Communales;
202200032536; Route Départementale;533
202200032537; Route Départementale;NIMES (ROUTE DE)
202200032538;Voie Communales;ARIANE (BD DE L')
202200032539; Route Départementale;JOURDAN (AVENUE MICHEL)
202200032540; Route Départementale;SPORTS ((AVENUE DES - N°1( A FIN)
202200032541;Voie Communales;PORTE DE CHATILLON
202200032542;Voie Communales;PORTE DE CHAMPERRET
202200032543;Voie Communales;PORTE DE CLIGNANCOURT
202200032544;Voie Communales;PORTE DE SAINT OUEN
202200032545;Voie Communales;RUE DE BELLEVILLE
202200032546;Voie Communales;AVENUE DE VERSAILLES
202200032547;Voie Communales;AVENUE DU GENERAL LECLERC
202200032548;Voie Communales;BOULEVARD DE L HOPITAL
202200032549;Voie Communales;BOULEVARD PONIATOWSKI
202200032550;Voie Communales;RUE DES RECOLLETS
202200032551;Voie Communales;AVENUE DU PRESIDENT WILSON
202200032552;Voie Communales;PLACE DU CANADA
202200032553;Voie Communales;EMILE ZOLA (R)
202200032554; Route Départementale;CHOISY(ROUTE DE)
202200032555;Voie Communales;CASANOVA DANIELLE NR 2 A 50 ET 1 A 19
202200032556; Route Départementale;WALESA (AVENUE LECH)
202200032557; Route Départementale;ROSNY (AVENUE DE)
202200032558;Voie Communales;PASTEUR (AV.)
202200032559;Route nationale;13
202200032560;Autoroute;AUTOROUTE A3
202200032561;Voie Communales;
202200032562; Route Départementale;
202200032563;Autoroute;A4
202200032564; Route Départementale;986
202200032565;Autoroute;A4
202200032566;Voie Communales;100
202200032567; Route Départementale;70
202200032568;Autoroute;A86 INT
202200032569; Route Départementale;53
202200032570;Autoroute;A4
202200032571; Route Départementale;612
202200032572;Autoroute;A86 INT
202200032573;Route nationale;1
202200032574; Route Départementale;M62
202200032575; Route Départementale;CHANTACO (AVENUE DE )
202200032576; Route Départementale;NELSON MANDELA
202200032577; Route Départementale;3
202200032578;Voie Communales;MOINE (RUE)
202200032579; Route Départementale;138
202200032580;Voie Communales;AMOUREUX (RUE DES)
202200032581;Voie Communales;
202200032582; Route Départementale;74
202200032583;Voie Communales;ALBANY (AVENUE JEAN)
202200032584;Route nationale;124
202200032585;Voie Communales;LABOURDONNAIS
202200032586; Route Départementale;118
202200032587; Route Départementale;BADUEL (ROND POINT DE)
202200032588; Route Départementale;52
202200032589;Voie Communales;PASTEUR                             (R )
202200032590; Route Départementale;32
202200032591;Voie Communales;59
202200032592;Voie Communales;BERTHELOT                           (AV)
202200032593; Route Départementale;53
202200032594;Route nationale;JULES ALARIC (RUE)
202200032595; Route Départementale;165
202200032596;Voie Communales;24 MARS 1852 
202200032597; Route Départementale;1044
202200032598; Route Départementale;40
202200032599;Route nationale;PERRIN (SECTEUR)
202200032600;Voie Communales;
202200032601;Route nationale;Rue des Orangers
202200032602;Voie Communales;
202200032603;Route nationale;T21
202200032604; Route Départementale;19
202200032605;Voie Communales;578
202200032606;Voie Communales;JAURES (AVENUE JEAN)
202200032607; Route Départementale;578
202200032608; Route Départementale;121
202200032609;Voie Communales;BRANLY (Giratoire)
202200032610; Route Départementale;734
202200032611;Voie Communales;QUATORZE JUILLET 1789 (AVENUE DU)
202200032612;Voie Communales;
202200032613;Voie Communales;
202200032614; Route Départementale;17
202200032615;autre;route forestière des pavillons
202200032616;Autoroute;A43
202200032617;Autoroute;81
202200032618;Routes de métropole urbaine;CORNEILLE. RUE PIERRE
202200032619;Autoroute;A8
202200032620;Voie Communales;LEFAUCHEUX PIERRE (BD)
202200032621;Autoroute;77
202200032622;Voie Communales;KENNEDY (BOULEVARD)
202200032623;Route nationale;1
202200032624;Voie Communales;LEON BLUM      (Rue)
202200032625; Route Départementale;MULHOUSE ( RUE)CITE BOURGLIBRE JUSQUE RU
202200032626; Route Départementale;62E1
202200032627;Route nationale;113
202200032628;Voie Communales;LAROCHEFOUCAULD (AVENUE DE)
202200032629; Route Départementale;13
202200032630;Routes de métropole urbaine;FAUBOURG DES POSTES RUE
202200032631; Route Départementale;7
202200032632; Route Départementale;GENERAL DE CASTELNAU (RUE DU)
202200032633; Route Départementale;657
202200032634; Route Départementale;CROIX PAIN
202200032635; Route Départementale;D12
202200032636; Route Départementale;HUGO VICTOR RUE
202200032637;Voie Communales;
202200032638; Route Départementale;POLIGNAC (ROUTE DE)
202200032639; Route Départementale;1075
202200032640; Route Départementale;RD 956
202200032641;Voie Communales;JEAN JAURES
202200032642;Voie Communales;AVE DE TOURVILLE
202200032643;Voie Communales;
202200032644;Voie Communales;RUE THOMAS EDISON
202200032645;Voie Communales;MAIRIE (RUE DE LA )
202200032646;Voie Communales;MONTGOLFIER RUES DES FRERES (302)
202200032647; Route Départementale;ISLES (Chemin des )
202200032648;Voie Communales;FERNAND MOUREAUX (BOULEVARD)
202200032649; Route Départementale;26
202200032650;Voie Communales;LUCIEN SERVANTY (RUE )
202200032651;Routes de métropole urbaine;AVENUE DE LA PATROUILLE DE FRANCE-RN 538
202200032652;Voie Communales;pointe rouge (ave)
202200032653; Route Départementale;772
202200032654;Voie Communales;ORGUES (RUE DES)
202200032655; Route Départementale;BARCELONE (AVENUE DE)
202200032656;Voie Communales;
202200032657; Route Départementale;62
202200032658;Voie Communales;VAL FLEURI CHEMIN DU
202200032659;Voie Communales;BOULEVARD SERURIER
202200032660;Voie Communales;BOULEVARD DU BOIS LE PRETRE
202200032661;Voie Communales;RUE DE LONGCHAMP
202200032662;Voie Communales;
202200032663;Voie Communales;RUE CHARLES MOUREU
202200032664;Voie Communales;RUE RICHER
202200032665;Autoroute;A7-Sens Marseille vers Lyon
202200032666;Voie Communales;RUE DE MARIGNAN
202200032667;Autoroute;A50-Sens Aubagne vers Marseille
202200032668;Voie Communales;RUE SAINT MARTIN
202200032669;Autoroute;ROCADE A 630
202200032670; Route Départementale;PROFESSEUR CADIOT (AV DU)
202200032671; Route Départementale;RHIN ET DANUBE(RUE DU)
202200032672;Autoroute;ROCADE A 630
202200032673;Autoroute;AUTOROUTE A 21
202200032674;Autoroute;A4
202200032675; Route Départementale;TASSIGNY(AVE DU MARECHAL DE LATTRE DE)
202200032676;Route nationale;RN346   38.960 A 40.883
202200032677; Route Départementale;OLIVIER D ORMESSON (AV)
202200032678;Route nationale;ROUTE NATIONALE 356
202200032679;Voie Communales;YVES FARGES ( R )
202200032680; Route Départementale;LIEUTENANT DAGORNO (R DU)
202200032681; Route Départementale;NATIONALE(RUE)R.SCHOENECK A LIMITE CIRCO
202200032682;Route nationale;RN 385 Extèrieure
202200032683; Route Départementale;PARIS (RUE DE)
202200032684;Route nationale;RN12 INT
202200032685;Voie Communales;ROND POINT TAMATAVE
202200032686;Voie Communales;CAPSULERIE RUE DE LA
202200032687;Autoroute;A86 INT
202200032688;Voie Communales;
202200032689;Route nationale;MADELEINE (ROUTE DE LA)
202200032690;Autoroute;86
202200032691; Route Départementale;ROUTE NATIONALE 3
202200032692; Route Départementale;7
202200032693;Autoroute;AUTOROUTE A15
202200032694;Voie Communales;
202200032695;Voie Communales;MARC BLOCH                          (R )
202200032696;Route nationale;RN 104
202200032697;Voie Communales;
202200032698;Route nationale;BRETELLE SORTIE ROCADE
202200032699; Route Départementale;13
202200032700;Autoroute;AUTOROUTE A3
202200032701;Route nationale;GENERAL DE GAULLE (BLD DU)
202200032702; Route Départementale;992
202200032703;Autoroute;AUTOROUTE A3
202200032704;Autoroute;AUTOROUTE (A1)
202200032705;Autoroute;AUTOROUTE A15
202200032706; Route Départementale;50
202200032707;Voie Communales;RUE DES PRES SAINT MARTIN
202200032708; Route Départementale;19
202200032709; Route Départementale;920
202200032710; Route Départementale;D217BIS
202200032711;Autoroute;19
202200032712;Voie Communales;BARON DE LOE (RUE DU)
202200032713;Voie Communales;WILBUR WRIGHT (RUE)
202200032714;Autoroute;6
202200032715;Route nationale;12
202200032716; Route Départementale;RD810
202200032717;Voie Communales;STALINGRAD (RUE DE)
202200032718;Route nationale;165
202200032719;Routes de métropole urbaine;FAUBOURG DES POSTES RUE
202200032720; Route Départementale;62
202200032721;Voie Communales;
202200032722;Voie Communales;1
202200032723;Voie Communales;CHEVERT (RUE DU GENERAL)
202200032724; Route Départementale;1082
202200032725; Route Départementale;BOISMONT (RUE DE)
202200032726; Route Départementale;1
202200032727; Route Départementale;786
202200032728; Route Départementale;BRETAGNE ( RUE DE )
202200032729; Route Départementale;
202200032730;Voie Communales;DOUFFIAGUES (AVENUE JACQUES)
202200032731;Voie Communales;
202200032732; Route Départementale;23
202200032733;Voie Communales;BARBUSSE (AVENUE HENRI)
202200032734;Voie Communales;D783
202200032735;Voie Communales;COTE SIBERTIERE (LIEU DIT)
202200032736;Voie Communales;PREVALAYE (CHEMIN DE LA)
202200032737;Voie Communales;2
202200032738;Voie Communales;MERMOZ (BOULEVARD JEAN)
202200032739; Route Départementale;933
202200032740;Voie Communales;RUE BORIE
202200032741; Route Départementale;109
202200032742;Voie Communales;DANEY (BD ALFRED)
202200032743;Voie Communales;13
202200032744;Voie Communales;RUE LUCIEN FAURE
202200032745;Voie Communales;ERMITAGE (AVE DE L')
202200032746;Hors réseau public;
202200032747; Route Départementale;60
202200032748; Route Départementale;POSTEL (BOULEVARD DU DOCTEUR)
202200032749; Route Départementale;22
202200032750;Routes de métropole urbaine;SERPOLET (AVENUE DU)
202200032751; Route Départementale;8
202200032752;Autoroute;320
202200032753; Route Départementale;BELPECH ROUTE DE
202200032754; Route Départementale;ESPAGNE (ROUTE D')
202200032755; Route Départementale;
202200032756;Voie Communales;PORTE DE VINCENNES
202200032757;Voie Communales;RUE LEPIC
202200032758;Route nationale;57
202200032759;Voie Communales;QUAI DE BERCY
202200032760; Route Départementale;82
202200032761;Voie Communales;RUE DE RIVOLI
202200032762;Route nationale;113
202200032763; Route Départementale;CONVENTION (R DE LA)
202200032764; Route Départementale;201
202200032765; Route Départementale;MARECHAL LECLERC (R DU)
202200032766; Route Départementale;35
202200032767; Route Départementale;11
202200032768;Voie Communales;TREMBLAY (ROUTE DE)
202200032769;Voie Communales;
202200032770;Voie Communales;SOMME (AVENUE DE LA)
202200032771; Route Départementale;MITRY [CD115] (ROUTE DE)
202200032772;Route nationale;20
202200032773; Route Départementale;MICHELET(AV):N°1AU 103
202200032774; Route Départementale;765
202200032775;Voie Communales;JEAN LOLIVE (RUE)
202200032776; Route Départementale;34
202200032777; Route Départementale;STALINGRAD (DE)
202200032778; Route Départementale;101
202200032779;Voie Communales;AULNAY (ROUTE) DE 47 A 109 COTE IMPAIRE
202200032780; Route Départementale;316
202200032781; Route Départementale;907
202200032782; Route Départementale;924
202200032783; Route Départementale;7
202200032784;Autoroute;1
202200032785; Route Départementale;50
202200032786;Voie Communales;404
202200032787; Route Départementale;12
202200032788;Routes de métropole urbaine;301
202200032789; Route Départementale;63
202200032790;Routes de métropole urbaine;Autoroute A.35
202200032791; Route Départementale;68
202200032792;Autoroute;AUTOROUTE A 63
202200032793; Route Départementale;6089
202200032794;Route nationale;385
202200032795; Route Départementale;42
202200032796;Autoroute;86
202200032797;Autoroute;36
202200032798;Autoroute;A12 Y
202200032799; Route Départementale;6
202200032800;Autoroute;A13 Y
202200032801;Route nationale;10
202200032802; Route Départementale;159
202200032803;Route nationale;RN104
202200032804; Route Départementale;11
202200032805; Route Départementale;SCHUMANN (PROMENADE ROBERT)
202200032806;Voie Communales;SAINT LADRE (RUE )
202200032807; Route Départementale;106
202200032808; Route Départementale;308
202200032809; Route Départementale;36
202200032810;Route nationale;RAMBAUD (LEOPOLD)
202200032811;Voie Communales;MACE (ROUTE GABRIEL)
202200032812;Voie Communales;FRANCIS DE PRESSENSE                (AV)
202200032813;Voie Communales;
202200032814;Voie Communales;0
202200032815;Voie Communales;REPOS (DU)                          (R )
202200032816; Route Départementale;671
202200032817;Voie Communales;
202200032818;Voie Communales;FENELON                             (R )
202200032819; Route Départementale;RD 41 (ROCADE)
202200032820; Route Départementale;932
202200032821;Voie Communales;FAVORITE (DE LA )                   (R )
202200032822; Route Départementale;795
202200032823;Routes de métropole urbaine;PIERRE SEMARD                       (R )
202200032824; Route Départementale;12
202200032825;Voie Communales;AMEDE FENGAROL (RUE)
202200032826; Route Départementale;20
202200032827;Route nationale;T20
202200032828; Route Départementale;74
202200032829;Voie Communales;BARBUSSE(PLACE)
202200032830; Route Départementale;101
202200032831;Voie Communales;BASTIAT (RUE FREDERIC)
202200032832;Route nationale;RD941 (EST)
202200032833; Route Départementale;463
202200032834;Voie Communales;
202200032835; Route Départementale;71
202200032836;Voie Communales;STRASBOURG (BOULEVARD DE)
202200032837; Route Départementale;58
202200032838;Voie Communales;
202200032839;Voie Communales;LUCIEN LECOINTE (RUE)
202200032840;Voie Communales;
202200032841;Route nationale;RN 13
202200032842; Route Départementale;12
202200032843;Voie Communales;RTE DE GUYANCOURT
202200032844;Voie Communales;MARECHAL JUIN  (DU)
202200032845;Routes de métropole urbaine;VAL L'ABBE. RUE DU
202200032846; Route Départementale;337
202200032847;Routes de métropole urbaine;BRETEQUE. CHEMIN DE LA
202200032848;Voie Communales;LOUIS BLANC (QUAI)
202200032849; Route Départementale;353
202200032850;Voie Communales;CUSSET   (Pont de)
202200032851;Autoroute;20
202200032852;Voie Communales;ELISEE RECLUS                       (R )
202200032853;Autoroute;85
202200032854;Autoroute;71
202200032855;Voie Communales;RAMBION (DU)                        (R )
202200032856;Autoroute;42
202200032857;Voie Communales;BERTHELOT  (rue)
202200032858;Voie Communales;
202200032859; Route Départementale;RN6 (CHARTONNIERE)
202200032860;Voie Communales;3
202200032861;Voie Communales;21
202200032862;Routes de métropole urbaine;STRASBOURG (AVENUE DE)
202200032863; Route Départementale;7
202200032864; Route Départementale;RD 914
202200032865; Route Départementale;58
202200032866; Route Départementale;JAURES JEAN  (AVENUE)
